,,,,, 
2500,1340364,345785,119,111, 
2500,1325955,299696,111,112, 
2500,1329033,351818,112,113, 
2500,1330178,351992,109,111, 
2500,1346218,344425,112,111, 
2500,1337581,451986,111,105, 
2500,1321892,304101,109,113, 
2500,1321724,421895,127,111, 
2500,1317866,340037,112,112, 
2500,1323677,345162,112,105, 
5000,2621497,1016699,109,117, 
5000,2666118,1007373,112,117, 
5000,2586984,882378,109,105, 
5000,2642912,1115311,112,105, 
5000,2640521,975548,109,105, 
5000,2671510,985711,109,117, 
5000,2691207,961718,121,105, 
5000,2650546,954744,118,117, 
5000,2654577,1144288,111,111, 
5000,2663578,1037744,105,120, 
10000,5304931,2584934,111,107, 
10000,5200308,2327800,110,111, 
10000,5297893,2235884,109,108, 
10000,5329653,2171993,122,110, 
10000,5220604,2372504,113,106, 
10000,5283340,2375088,111,108, 
10000,5179809,2216879,111,109, 
10000,5345338,2236753,112,109, 
10000,5419582,2294983,133,108, 
10000,5213680,2154334,112,118, 
20000,10585577,4970141,112,116, 
20000,10646936,4681361,111,113, 
20000,10641632,4866723,112,123, 
20000,10581755,4796006,111,115, 
20000,10716240,5049871,112,110, 
20000,10505937,4644440,112,114, 
20000,10601547,4751052,112,104, 
20000,10480579,4943835,126,112, 
20000,10554270,4807161,126,120, 
20000,10577588,4911416,126,106, 
40000,20902965,9916435,111,112, 
40000,21186054,9225093,109,109, 
40000,21371384,9249172,109,111, 
40000,21333238,9913338,109,107, 
40000,20968207,9462531,109,112, 
40000,21135397,9452596,109,125, 
40000,20947973,9591306,109,109, 
40000,21040856,9783324,116,111, 
40000,21175640,9309805,109,107, 
40000,20889411,9806937,115,107, 
80000,42583289,19513753,111,107, 
80000,42766740,19357957,134,106, 
80000,42341172,19612190,112,107, 
80000,42723851,19359574,110,108, 
80000,42955736,19441955,114,108, 
80000,41633261,19931984,109,127, 
80000,42302823,19596296,111,108, 
80000,41807602,19639658,110,104, 
80000,41922375,19909655,116,109, 
80000,42343108,19480047,111,107, 
160000,84877118,39226458,109,121, 
160000,83699606,38319964,109,113, 
160000,85502724,39640814,110,114, 
160000,84347857,39914783,113,108, 
160000,85021760,39227042,109,126, 
160000,85893894,38925536,109,107, 
160000,84186197,40010424,113,112, 
160000,84426728,39462191,109,122, 
160000,85124703,39979152,109,109, 
160000,85031947,38857023,109,109, 
320000,168405452,78941645,113,110, 
320000,169222653,79271836,113,106, 
320000,170006546,80299722,123,107, 
320000,166562443,79021479,115,108, 
320000,167677031,78847303,130,107, 
320000,166947809,78235980,112,107, 
320000,169600261,79023610,112,112, 
320000,171516077,78694747,113,118, 
320000,166675737,78748806,115,108, 
320000,172173496,79204545,115,109, 
